project_name,location_x,location_map,location_y,location_match
Alta Spatial,,,"Karuhatan, Valenzuela",False
Amaia Skies Avenida - North Tower,"Manila, Metro Manila","Quiapo, Manila, Metro Manila",,True
Amaia Skies Cubao,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila","Pasong Tamo, Quezon City",True
Amaia Skies Shaw,,,"Highway Hills, Mandaluyong",False
Amaia Skies Shaw - North Tower,"Mandaluyong, Metro Manila","Plainview, Mandaluyong, Metro Manila","Plainview, Mandaluyong",True
Amaia Skies Shaw - North Tower,"Mandaluyong, Metro Manila","Plainview, Mandaluyong, Metro Manila","Highway Hills, Mandaluyong",True
Amaia Skies Shaw - North Tower,"Mandaluyong, Metro Manila","Plainview, Mandaluyong, Metro Manila","Shaw Boulevard, Mandaluyong",True
Amaia Skies Sta. Mesa,,,"Santa Mesa, Manila",False
Amaia Skies Sta. Mesa - South Tower,"Manila, Metro Manila","Quiapo, Manila, Metro Manila","Quiapo, Manila",True
Amaia Steps Alabang,"Las Piñas, Metro Manila","Almanza Dos, Las Piñas, Metro Manila","Las Piñas, Metro Manila",True
Amaia Steps Alabang,"Las Piñas, Metro Manila","Almanza Dos, Las Piñas, Metro Manila","Alabang, Muntinlupa",True
Amaia Steps Alabang,"Las Piñas, Metro Manila","Almanza Dos, Las Piñas, Metro Manila","Almanza Uno, Las Piñas",True
Amaia Steps Bicutan,,,"Sun Valley, Parañaque",False
Amaia Steps Bicutan 1,"Parañaque, Metro Manila","Sun Valley, Parañaque, Metro Manila","Parañaque, Metro Manila",True
Amaia Steps Nova,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",,True
Amaia Steps Novaliches,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila",,True
Amorsolo East,,,"Makati, Metro Manila",False
Amorsolo East,,,"Poblacion, Makati",False
Amorsolo Square,"Makati, Metro Manila","Rockwell, Makati, Metro Manila","Makati, Metro Manila",True
Amorsolo Square,"Makati, Metro Manila","Rockwell, Makati, Metro Manila","Rockwell, Makati",True
Amorsolo Square at Rockwell,"Makati, Metro Manila","Rockwell, Makati, Metro Manila",,True
Amorsolo West,,,"Makati, Metro Manila",False
Amvel Mansions,Metro Manila,"Tugatog, Malabon, Metro Manila",,True
Ananda Square,,,"Zapote, Las Piñas",False
Andrea North Towers,,,"Cubao, Quezon City",False
Anissa Heights,,,"Pasay, Metro Manila",False
Antel Platinum Tower,,,"Bel-Air, Makati",False
Antel Seaview,"Pasay, Metro Manila","Malate, Manila, Metro Manila","Pasay Rotonda, Pasay",False
Antel Seaview Towers,,,"Pasay, Metro Manila",False
Antel Spa Residences,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",,True
Antel Spa Suites,"Makati, Metro Manila","Poblacion, Makati, Metro Manila",,True
Anuva,"Muntinlupa, Metro Manila","Sucat, Muntinlupa, Metro Manila","Sucat, Muntinlupa",True
Anuva Residences,,,"Muntinlupa, Metro Manila",False
Anuva Residences,,,"Buli, Muntinlupa",False
Aqua Iguazu,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila",,True
Arbor Lanes,"Taguig, Metro Manila","Western Bicutan, Taguig, Metro Manila","Taguig, Metro Manila",True
Arbor Lanes,"Taguig, Metro Manila","Western Bicutan, Taguig, Metro Manila","Western Bicutan, Taguig",True
Arca South,,,"Taguig, Metro Manila",False
Arezzo Place,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",,True
Arezzo Place Pasig,"Pasig, Metro Manila","San Joaquin, Pasig, Metro Manila",,True
Arista Place,"Parañaque, Metro Manila","Santo Niño, Parañaque, Metro Manila","Santo Niño, Parañaque",True
Arya Residences,,,"Fort Bonifacio, Taguig",False
Arya Residences Tower 1,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Arya Residences Tower 2,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Asia Crest Mansion,,,"Pasadeña, San Juan",False
Asia Enclaves,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila","Cupang, Muntinlupa",True
Asia Enclaves,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila","Alabang, Muntinlupa",True
Asiana Oasis,"Parañaque, Metro Manila","Moonwalk, Parañaque, Metro Manila","Moonwalk, Parañaque",True
"Asiana Oasis, Parañaque City","Parañaque, Metro Manila","Metro Manila, Parañaque",,False
Aspen Towers,,,"Muntinlupa, Metro Manila",False
Aspen Towers,,,"Alabang, Muntinlupa",False
Aspire Tower,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila","Pasong Tamo, Quezon City",True
Aspire Tower,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila","Bagumbayan, Quezon City",True
Aspire Tower,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila","Libis, Quezon City",True
Astela,,,"Makati, Metro Manila",False
Astela,,,"Carmona, Makati",False
Astela at Circuit Makati,,,"Makati, Metro Manila",False
Astela at Circuit Makati,,,"Carmona, Makati",False
Asteria Residences,"Parañaque, Metro Manila","San Isidro, Parañaque, Metro Manila","San Isidro, Parañaque",True
Aston at Two Serendra,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila",,True
Aurelia Residences,,,"Fort Bonifacio, Taguig",False
Aurora Escalades,,,"Cubao, Quezon City",False
Aurora Escalades,,,"Quezon City, Metro Manila",False
Aurora Escalades_,"Quezon City, Metro Manila","San Roque, Quezon City, Metro Manila",,True
Avalon Condominium,,,"Greenhills, San Juan",False
Avant at The Fort,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Avida CityFlex Towers BGC,,,"Fort Bonifacio, Taguig",False
Avida Cityflex Towers,,,"Fort Bonifacio, Taguig",False
Avida Cityflex Towers BGC,"Taguig, Metro Manila","Metro Manila, Taguig, BGC",,False
Avida Sola Tower 2,,,"Bagong Pag-Asa, Quezon City",False
Avida Tower Alabang,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila","Alabang, Muntinlupa",True
Avida Towers 34th Street,"Taguig, Metro Manila","Metro Manila, Taguig","Fort Bonifacio, Taguig",False
Avida Towers 34th Street,"Taguig, Metro Manila","Metro Manila, Taguig","Taguig, Metro Manila",False
Avida Towers Alabang,"Muntinlupa, Metro Manila","Metro Manila, Muntinlupa, Alabang","Ayala Alabang, Muntinlupa",False
Avida Towers Alabang,"Muntinlupa, Metro Manila","Metro Manila, Muntinlupa, Alabang","Alabang, Muntinlupa",False
Avida Towers Altura,"Muntinlupa, Metro Manila","Metro Manila, Muntinlupa, Alabang","Alabang, Muntinlupa",False
Avida Towers Ardane,,,"Alabang, Muntinlupa",False
Avida Towers Asten,,,"San Antonio, Makati",False
Avida Towers Astrea,"Quezon City, Metro Manila","Metro Manila, Quezon City, Fairview",,False
Avida Towers BGC 9TH Avenue,"Taguig, Metro Manila","Metro Manila, Taguig",,False
Avida Towers BGC 9th Avenue,,,"Taguig, Metro Manila",False
Avida Towers BGC 9th Avenue,,,"Fort Bonifacio, Taguig",False
Avida Towers Centera,,,"Highway Hills, Mandaluyong",False
Avida Towers Cloverleaf,"Quezon City, Metro Manila","Balingasa, Quezon City, Metro Manila","Balintawak, Caloocan",True
Avida Towers Davao,Metro Manila,Metro Manila,,True
Avida Towers Intima,"Manila, Metro Manila","Metro Manila, Manila","Paco, Manila",False
Avida Towers Intima,"Manila, Metro Manila","Metro Manila, Manila","Pandacan, Manila",False
Avida Towers Makati West,,,"San Antonio, Makati",False
Avida Towers One Union Place,"Taguig, Metro Manila","Metro Manila, Taguig, Western Bicutan","Taguig, Metro Manila",False
Avida Towers Prime Taft,"Pasay, Metro Manila","Barangay 36, Pasay, Metro Manila","Pasay, Metro Manila",True
Avida Towers San Lazaro,,,"Santa Cruz, Manila",False
Avida Towers San Lorenzo,"Makati, Metro Manila","Bangkal, Makati, Metro Manila","Bangkal, Makati",True
Avida Towers Sola,,,"North Avenue, Quezon City",False
Avida Towers Sola,,,"Project 7, Quezon City",False
Avida Towers Sola,,,"Bagong Pag-Asa, Quezon City",False
Avida Towers Sucat,"Parañaque, Metro Manila","Barangay 76, Pasay, Metro Manila","Baclaran, Parañaque",False
Avida Towers Sucat,"Parañaque, Metro Manila","Barangay 76, Pasay, Metro Manila","San Dionisio, Parañaque",False
Avida Towers Turf,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Avida Towers Turf BGC,,,"Fort Bonifacio, Taguig",False
Avida Towers Verge,"Mandaluyong, Metro Manila","Highway Hills, Mandaluyong, Metro Manila","Highway Hills, Mandaluyong",True
Avida Towers Verte,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Avida Towers Vireo,,,"Taguig, Metro Manila",False
Avida Towers Vita,"Quezon City, Metro Manila","Metro Manila, Quezon City","Diliman, Quezon City",False
Avida Towers Vita,"Quezon City, Metro Manila","Metro Manila, Quezon City","North Avenue, Quezon City",False
Avignon Tower,,,"Bel-Air, Makati",False
Avila Tower at Circulo Verde,,,"Bagumbayan, Quezon City",False
Avila at Circulo Verde,"Quezon City, Metro Manila","Bagumbayan, Quezon City, Metro Manila",,True
Axis Residences,"Mandaluyong, Metro Manila","Highway Hills, Mandaluyong, Metro Manila","Buayang Bato, Mandaluyong",True
Axis Residences,"Mandaluyong, Metro Manila","Highway Hills, Mandaluyong, Metro Manila","Barangka Ilaya, Mandaluyong",True
Ayala Southvale Sonera,,,"Almanza Dos, Las Piñas",False
Azure Urban Resort Residences,,,"Marcelo Green Village, Parañaque",False
Azure Urban Resort Residences Parañaque,"Parañaque, Metro Manila","Marcelo Green Village, Parañaque, Metro Manila","Marcelo Green Village, Parañaque",True
"Azure Urban Resort Residences, Century Properties Management Inc",,,"Marcelo Green Village, Parañaque",False
BAYWATCH TOWER,"Manila, Metro Manila","Malate, Manila, Metro Manila","Malate, Manila",True
BELTON PLACE,"Makati, Metro Manila","Bangkal, Makati, Metro Manila","Bangkal, Makati",True
BF Homes Executive Village,,,"Parañaque, Metro Manila",False
BLUE SAPPHIRE RESIDENCES,"Taguig, Metro Manila","Pinagsama, Taguig, Metro Manila",,True
BRESCIA RESIDENCES,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",,True
BSA Mansion,,,"Legazpi Village, Makati",False
BSA Suites,,,"Legazpi Village, Makati",False
BSA Tower,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",,True
BSA Twin Tower,"Mandaluyong, Metro Manila","Wack-Wack Greenhills, Mandaluyong, Metro Manila",,True
BSA Twin Towers,,,"Wack-Wack Greenhills, Mandaluyong",False
Bali Oasis Phase,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",,True
Bali Oasis Phase 2,"Pasig, Metro Manila","Santolan, Pasig, Metro Manila","Calumpang, Marikina",True
Baron 3 Gardens,,,"Addition Hills, San Juan",False
Baron Tower,,,"San Juan, Metro Manila",False
Baron Tower,,,"Addition Hills, San Juan",False
Bay Area Suites Condominium,"Manila, Metro Manila","Quiapo, Manila, Metro Manila","Quiapo, Manila",True
Bay Garden,"Pasay, Metro Manila","Barangay 76, Pasay, Metro Manila","Pasay, Metro Manila",True
Bay Garden Club and Residences,,,"Pasay, Metro Manila",False
Bayport West NAIA Garden Residences,,,"Tambo, Parañaque",False
Bayshore Residential Resort,,,"Tambo, Parañaque",False
Bayview International Tower,,,"Tambo, Parañaque",False
Beaufort East Condo,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila",,True
Belize Oasis,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila","Alabang, Muntinlupa",True
Bellagio Towers,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Belmont Hotel Pasay,,,"Pasay, Metro Manila",False
Belton Place Condo,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",,True
Berkeley Residences,"Quezon City, Metro Manila","Loyola Heights, Quezon City, Metro Manila","Loyola Heights, Quezon City",True
Birch Tower,,,"Malate, Manila",False
Bloom Residences,"Parañaque, Metro Manila","San Antonio, Parañaque, Metro Manila","San Antonio, Parañaque",True
Bloom Residences,"Parañaque, Metro Manila","San Antonio, Parañaque, Metro Manila","San Isidro, Parañaque",True
Bloom Residences,"Parañaque, Metro Manila","San Antonio, Parañaque, Metro Manila","Don Bosco, Parañaque",True
Blue Residences,"Quezon City, Metro Manila","Apad, Quezon, Quezon",,False
Bonifacio Heights,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila",,True
Bonifacio Ridge,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Botanika Nature Residences,,,"Alabang, Muntinlupa",False
Bradbury Heights,,,"Santa Cruz, Quezon City",False
Bradbury Heights,,,"Santa Cruz, Manila",False
Breeze Residences,"Pasay, Metro Manila","Barangay 76, Pasay, Metro Manila","San Rafael, Pasay",True
Brentwood Mansion,"Pasig, Metro Manila","Santolan, Pasig, Metro Manila",,True
Brio Tower,"Makati, Metro Manila","Guadalupe Viejo, Makati, Metro Manila","Guadalupe Viejo, Makati",True
Bristol at Parkway Place,,,"Muntinlupa, Metro Manila",False
Bristol at Parkway Place,,,"Alabang, Muntinlupa",False
Brixton Place,"Pasig, Metro Manila","Kapitolyo, Pasig, Metro Manila",,True
Burgundy McKinley Place,,,"Don Galo, Parañaque",False
Burgundy McKinley Place,,,"Tambo, Parañaque",False
CBY Tower,,,"Binondo, Manila",False
CHERRY ORCHARD SUITES,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila",,True
CIVIC PLACE,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila","Alabang, Muntinlupa",True
CORINTHIAN EXECUTIVE REGENCY,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",,True
COVENT GARDEN,"Manila, Metro Manila","Santa Mesa, Manila, Metro Manila","Santa Mesa, Manila",True
COVENT GARDEN,"Manila, Metro Manila","Santa Mesa, Manila, Metro Manila","Santa Cruz, Manila",True
COVENT GARDEN,"Manila, Metro Manila","Santa Mesa, Manila, Metro Manila","Santa Ana, Manila",True
Calathea Place,"Parañaque, Metro Manila","San Antonio, Parañaque, Metro Manila","San Antonio, Parañaque",True
Calathea Place,"Parañaque, Metro Manila","San Antonio, Parañaque, Metro Manila","San Dionisio, Parañaque",True
California Garden Square,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila","Mandaluyong, Metro Manila",True
California Garden Square,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila","Highway Hills, Mandaluyong",True
Calle Centrale,,,"Bagumbayan, Quezon City",False
Callisto,,,"Makati, Metro Manila",False
Callisto 2,"Makati, Metro Manila","Carmona, Makati, Metro Manila",,True
Camella Glenmont,"Quezon City, Metro Manila","Metro Manila, Quezon City, Sauyo",,False
Cameron Residences,"Quezon City, Metro Manila","Mariblo, Quezon City, Metro Manila","Mariblo, Quezon City",True
Capitol Park Homes,,,"Ramon Magsaysay, Quezon City",False
Capri Oasis,"Pasig, Metro Manila","Maybunga, Pasig, Metro Manila",,True
Casiana Residences,,,"Tambo, Parañaque",False
Cedar Crest,,,"Taguig, Metro Manila",False
Cedar Crest,,,"Bambang, Taguig",False
Celadon Park,"Manila, Metro Manila","Santa Cruz, Manila, Metro Manila","Santa Cruz, Manila",True
Celadon Park,"Manila, Metro Manila","Santa Cruz, Manila, Metro Manila","Santa Cruz, Quezon City",True
Central Park West,"Pateros, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",False
Centro Residences,"Quezon City, Metro Manila","Kaunlaran, Quezon City, Metro Manila",,True
Century Spire,,,"Makati, Metro Manila",False
Century Spire Makati,"Makati, Metro Manila","Poblacion, Makati, Metro Manila","San Miguel Village, Makati",True
Cerritos East Residences,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",,True
Charm Residences,,,"San Perfecto, San Juan",False
Chateau Elysee,"Parañaque, Metro Manila","Don Bosco, Parañaque, Metro Manila","Don Bosco, Parañaque",True
Chateau Elysee,"Parañaque, Metro Manila","Don Bosco, Parañaque, Metro Manila","Moonwalk, Parañaque",True
Chateau Residences,"Parañaque, Metro Manila","Don Bosco, Parañaque, Metro Manila",,True
Chimes Greenhills,"San Juan, Metro Manila","Greenhills, San Juan, Metro Manila","Greenhills, San Juan",True
Cintiley Residences,,,"Santa Cruz, Manila",False
Circulo Verde,"Quezon City, Metro Manila","Manggahan, Pasig, Metro Manila","Bagumbayan South, Navotas",False
Circulo Verde,"Quezon City, Metro Manila","Manggahan, Pasig, Metro Manila","Quezon City, Metro Manila",False
Circulo Verde Lleida,"Quezon City, Metro Manila","Metro Manila, Quezon City",,False
Cirrus,"Pasig, Metro Manila","Manggahan, Pasig, Metro Manila",,True
Citadines Benavidez Makati,,,"Legazpi Village, Makati",False
City Place,"Manila, Metro Manila","San Nicolas, Manila, Metro Manila",,True
Cityland Pasong Tamo Calle Estacion,,,"Makati, Metro Manila",False
Cityland Pasong Tamo Tower,,,"Pio Del Pilar, Makati",False
Cityland Pioneer,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila","Mandaluyong, Metro Manila",True
Cityland Rada Regency,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",,True
Cityland Shaw Tower,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila","Wack-Wack Greenhills, Mandaluyong",True
Cityland Shaw Tower,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila","Makati, Metro Manila",True
Cityland Shaw Tower,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila","Addition Hills, Mandaluyong",True
Clairemont Hills,"San Juan, Metro Manila","Corazon de Jesus, San Juan, Metro Manila",,True
Classica Manor,,,"Addition Hills, San Juan",False
Cleveland Tower,,,"Don Galo, Parañaque",False
Coast Residences,"Pasay, Metro Manila","Barangay 76, Pasay, Metro Manila","Roxas Boulevard, Manila",True
Coast Residences,"Pasay, Metro Manila","Barangay 76, Pasay, Metro Manila","Pasay, Metro Manila",True
Coastal Luxury Residences,"Parañaque, Metro Manila","Tambo, Parañaque, Metro Manila",,True
Copeton Baysuites,"Parañaque, Metro Manila","Tambo, Parañaque, Metro Manila","Tambo, Parañaque",True
Cortijos Condominium,,,"Greenhills, San Juan",False
Crescent Park Residences,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila",,True
Crown Tower,"Manila, Metro Manila","Manila, Metro Manila",,True
Crown Tower University Belt,,,"Sampaloc, Manila",False
Cypress Towers,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila","Bagong Tanyag, Taguig",True
Cypress Towers,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila","Ususan, Taguig",True
D Ace Suites,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",,True
D' University Place,,,"Malate, Manila",False
Dansalan Garden,"Mandaluyong, Metro Manila","Malamig, Mandaluyong, Metro Manila",,True
Dansalan Gardens,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila",,True
Discovery Primea,,,"Quiapo, Manila",False
Discovery Primea,,,"Ayala Avenue, Makati",False
Dream Tower,"Quezon City, Metro Manila","Bagumbayan, Quezon City, Metro Manila","Bagumbayan, Quezon City",True
Dream Tower at Nuvo District,,,"Bagumbayan, Quezon City",False
Dynasty Tower,,,"Tondo, Manila",False
EDADES TOWER AND GARDEN VILLAS,"Makati, Metro Manila","Rockwell, Makati, Metro Manila","Makati, Metro Manila",True
EIGHT FORBESTOWN ROAD,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila","Bagong Tanyag, Taguig",True
EL JARDIN DEL PRESIDENTE 2,"Quezon City, Metro Manila","South Triangle, Quezon City, Metro Manila",,True
ETON EMERALD LOFTS,"Pasig, Metro Manila","San Antonio, Pasig, Metro Manila",,True
East Bay Residences,,,"Muntinlupa, Metro Manila",False
East Bay Residences,,,"Sucat, Muntinlupa",False
East Bel-Air Residences,"Manila, Metro Manila","Tondo, Manila, Metro Manila",,True
East Gallery Place,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
East Of Galeria,"Pasig, Metro Manila","San Antonio, Pasig, Metro Manila",,True
East Ortigas Mansions,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",,True
East Raya Garden,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",,True
East of Galleria,"Pasig, Metro Manila","San Antonio, Pasig, Metro Manila",,True
Easton Place,,,"Bel-Air, Makati",False
Easton Place,,,"Salcedo Village, Makati",False
Eastwood Excelsior,,,"Eastwood City, Quezon City",False
Eastwood Global Plaza Luxury Residence,,,"Bagumbayan, Quezon City",False
Eastwood Lafayette,,,"Eastwood City, Quezon City",False
Eastwood LeGrand,,,"Bagumbayan, Quezon City",False
Eastwood LeGrand,,,"Eastwood City, Quezon City",False
Eastwood LeGrand,,,"Libis, Quezon City",False
Eastwood LeGrand,,,"Makati, Metro Manila",False
Eastwood Park Residences,,,"Eastwood City, Quezon City",False
Eastwood Parkview,,,"Eastwood City, Quezon City",False
Echelon Tower,,,"Malate, Manila",False
Edades Suites,,,"Makati, Metro Manila",False
Edades Tower,"Makati, Metro Manila","Rockwell, Makati, Metro Manila","Makati, Metro Manila",True
Edades Tower,"Makati, Metro Manila","Rockwell, Makati, Metro Manila","Rockwell, Makati",True
Eight Wack Wack,"Mandaluyong, Metro Manila","Plainview, Mandaluyong, Metro Manila",,True
El Jardin del Presidente,,,"South Triangle, Quezon City",False
Elements Eco-Efficient Residences,"Las Piñas, Metro Manila","Kapitolyo, Pasig, Metro Manila",,False
Elevé Homes Camarin,,,"Camarin, Caloocan",False
Elizabeth Place,"Makati, Metro Manila","Bel-Air, Makati, Metro Manila","Bel-Air, Makati",True
Eluria,,,"Legazpi Village, Makati",False
Entrata Urban Complex,,,"Alabang, Muntinlupa",False
