title,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_by
For Sale: Lincoln Tower 2BR (SMKT-PL-KM),,,118 sqm,118 sqm,"₱ 46,000,000","Guadalupe Viejo, Makati",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,1,,,Andrew Koa
ONE BEDROOM PROSCENIUM FOR SALE,Proscenium at Rockwell,Proscenium at Rockwell,65 sqm,65 sqm,"₱ 23,500,000","Guadalupe Viejo, Makati",1 bedroom,1 bathroom,,Partly furnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,M+ Properties
Rfo 2Br 38sqm Rent to Own Makati Condo FAST MOVE IN San Lorenzo Place in Chino Roces Megamall Magallanes MRT LRT Edsa NAIA Mckindley Pasay MOA BGC Ayala,San Lorenzo Place,San Lorenzo Place,38 sqm,6 sqm,"₱ 2,701,800","Bangkal, Makati",2 bedrooms,1 bathroom,16,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Jerald Yucot
"FOR SALE - Fully Furnished Corner Unit with City View in Eton Parkview Greenbelt, Legazpi Village, Makati City",,,,57 sqm,"₱ 9,500,000","Legazpi Village, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,,,,Luxe Realty
"1BR IN CENTURY SPIRE, MAKATI CITY, 56.04SQM",Century Spire Makati,Century Spire Makati,56 sqm,56 sqm,"₱ 13,200,000","San Miguel Village, Makati",1 bedroom,1 bathroom,41,Fully furnished,Condo,For Sale,2014,,Freehold,https://www.lamudi.com.ph/projects/41032-73-1054673bbd25-71d0-a0ccb52c-a25f-4b53,RE/MAX ONE
Makati Condo 1Br San Lorenzo Place Rfo Rent to Own in Makati Ayala Bgc Taguig Naia Pasay Ortigas Edsa Mrt Lrt,San Lorenzo Place,San Lorenzo Place,25 sqm,3 sqm,"₱ 2,301,400","Bangkal, Makati",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Jerald Yucot
2Br 38sqm Rfo 10% Downpayment Highrise Tower Makati Condo San Lorenzo Place in Makati Bgc Ayala NAIA Pasay MOA Taguig Ortigas Edsa Magallanes Chino Roces,San Lorenzo Place,San Lorenzo Place,38 sqm,5 sqm,"₱ 2,300,014","Bangkal, Makati",2 bedrooms,1 bathroom,18,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Jerald Yucot
1Br 26sqm Makati Condo Rent to Own Rfo San Lorenzo Place 10% Downpayment in Makati Ortigas Taguig Ayala Naia Mrt Lrt Pasay Moa Edsa Magallanes Pasig,San Lorenzo Place,San Lorenzo Place,26 sqm,3 sqm,"₱ 2,000,063","Bangkal, Makati",1 bedroom,1 bathroom,18,Unfurnished,Studio,For Sale,,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Jerald Yucot
"1BR IN CENTURY SPIRE, MAKATI CITY, 64.77SQM",Century Spire,Century Spire,64 sqm,64 sqm,"₱ 11,400,000","Makati, Metro Manila",1 bedroom,1 bathroom,41,Fully furnished,Condo,For Sale,2014,,Freehold,https://www.lamudi.com.ph/projects/century-spire/,RE/MAX ONE
2BR Unit For Sale - Tropical Palms Condominium,Tropical Palms,Tropical Palms,,142 sqm,"₱ 22,500,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,3,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/tropical-palms/,Veronica Ginez
2BR Unit For Sale - Elizabeth Place,Elizabeth Place,Elizabeth Place,,139 sqm,"₱ 18,500,000","Bel-Air, Makati",2 bedrooms,2 bathrooms,17,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/elizabeth-place/,Veronica Ginez
For Sale Oriental Garden Lotus Tower 2 Bedroom Fully Furnished Renovated 1 Parking,Oriental Garden,Oriental Garden,78 sqm,78 sqm,"₱ 13,000,000","Pio Del Pilar, Makati",2 bedrooms,2 bathrooms,11,Fully furnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/41032-73-7760ca15f8a7-3ad-665390e5-a86e-43c8,RE/MAX Resus - Levi
FULLY FURNISHED 3BR UNIT WITH BALCONY AND PARKING FOR SALE IN THE RESIDENCES AT GREENBELT,,,,165 sqm,"₱ 50,000,000","Legazpi Village, Makati",3 bedrooms,3 bathrooms,47,Fully furnished,Condo,For Sale,,2,,,HousingInteractive Inc.
FURNISHED 3BR UNIT WITH 2 PARKINGS FOR SALE IN THE RESIDENCES AT GREENBELT,,,,165 sqm,"₱ 50,000,000","Legazpi Village, Makati",3 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,,2,,,HousingInteractive Inc.
"RUSH!!! newly condo unit in GENTRY RESIDENCES, MAKATI",,,,65 sqm,"₱ 18,000,000","Urdaneta, Makati",1 bedroom,1 bathroom,65,Unfurnished,Condo,For Sale,,1,Freehold,,Rosalinda Yasis
"1 Bedroom For Sale in Amorsolo West, Makati City",,,73 sqm,73 sqm,"₱ 25,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Partly furnished,Condo,For Sale,2025,1,Freehold,,Erlyn Merino
"1 Bedroom For Sale in One Rockwell West Tower, Makati City",,,66 sqm,66 sqm,"₱ 21,500,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Partly furnished,Condo,For Sale,2010,1,Freehold,,Erlyn Merino
Residential Condominium in Makati City For Sale,,,,114 sqm,"₱ 18,000,000","Legazpi Village, Makati",,,,,Condo,For Sale,,,Freehold,,My Hometown Realty and Developer Inc. (DMGS)
"2 Bedroom For Sale in The Knightsbridge Residences, Makati City",,,60 sqm,60 sqm,"₱ 15,500,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,30,Partly furnished,Condo,For Sale,2014,1,Freehold,,Eva Marzan
"2 Bedroom For Sale in The Manansala, Makati City",,,106 sqm,106 sqm,"₱ 35,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,2005,1,Freehold,,Erlyn Merino
"1 Bedroom For Sale in The Manansala Tower, Makati City",,,106 sqm,106 sqm,"₱ 35,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,2005,1,Freehold,,Eva Marzan
"2 Bedroom For Sale in The Manansala, Makati City",,,106 sqm,106 sqm,"₱ 35,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,2005,1,Freehold,,Eva Marzan
"FOR SALE: 2-Bedroom Flat in The Proscenium At Rockwell, Makati",,,121 sqm,121 sqm,"₱ 49,000,000","Guadalupe Viejo, Makati",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,1,,,RE/MAX Capital
RFO Furnished 1BR with Balcony FOR SALE at BSA Suites Palanca St. Legazpi Village Makati,BSA Suites,BSA Suites,48 sqm,48 sqm,"₱ 7,800,000","Legazpi Village, Makati",1 bedroom,1 bathroom,19,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/bsa-suites/,Aurea Caampued
Clean Title RFO Furnished 1BR with Balcony & Parking FOR SALE at BSA Suites Palanca St. Legazpi Village Makati,BSA Suites,BSA Suites,44 sqm,44 sqm,"₱ 9,500,000","Legazpi Village, Makati",1 bedroom,1 bathroom,30,Partly furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/bsa-suites/,Aurea Caampued
𝟐𝐁𝐑 𝐔𝐧𝐢𝐭 𝐟𝐨𝐫 𝐒𝐚𝐥𝐞 𝐚𝐭 𝐎𝐧𝐞 𝐋𝐞𝐠𝐚𝐳𝐩𝐢 𝐏𝐚𝐫𝐤 𝐢𝐧 𝐌𝐚𝐤𝐚𝐭𝐢 𝐂𝐢𝐭𝐲-𝐋𝐞𝐠𝐚𝐳𝐩𝐢 𝐕𝐢𝐥𝐥𝐚𝐠𝐞,,,97 sqm,97 sqm,"₱ 26,000,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,1,,,Jared Dimangondayao
𝟏𝐁𝐑 𝐔𝐧𝐢𝐭 𝐟𝐨𝐫 𝐒𝐚𝐥𝐞 𝐚𝐭 𝐖𝐞𝐬𝐭𝐠𝐚𝐭𝐞 𝐏𝐥𝐚𝐳𝐚 𝐢𝐧 𝐌𝐚𝐤𝐚𝐭𝐢 𝐂𝐢𝐭𝐲-𝐒𝐚𝐥𝐜𝐞𝐝𝐨 𝐕𝐢𝐥𝐥𝐚𝐠𝐞,,,47 sqm,47 sqm,"₱ 7,000,000","Bel-Air, Makati",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,,,,Jared Dimangondayao
Makati Condo 1Br 26sqm Rfo Rent to Own San Lorenzo Place in Makati Edsa Ayala Bgc Taguig Mckindley Pasig Mrt Lrt,San Lorenzo Place,San Lorenzo Place,30 sqm,4 sqm,"₱ 2,001,110","Bangkal, Makati",1 bedroom,1 bathroom,16,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Jerald Yucot
1 Bedroom rent to own condo in Paseo De Roces makati chino roces makati city,Paseo De Roces,Paseo De Roces,37 sqm,37 sqm,Request Details,"Pio Del Pilar, Makati",1 bedroom,1 bathroom,,,Condo,Buy & Rent,,,,https://www.lamudi.com.ph/projects/paseo-de-roces/,Dream Property
1 Bedroom rent to own condo in Paseo De Roces makati chino roces makati city,,,37 sqm,37 sqm,Request Details,"Pio Del Pilar, Makati",1 bedroom,1 bathroom,,,Condo,Buy & Rent,,,,,Dream Property
"rent to own 1 bedroom condo for sale in chino roces makati city near greenbelt, ayala, rcbc plaza",Paseo De Roces,Paseo De Roces,37 sqm,37 sqm,Request Details,"Pio Del Pilar, Makati",1 bedroom,1 bathroom,,,Condo,Buy & Rent,,,,https://www.lamudi.com.ph/projects/paseo-de-roces/,Dream Property
"Rush Sale!: 2-Bedroom Unit in The Proscenium Residences, Rockwell Center, Makati City",,,,119 sqm,"₱ 50,000,000","Guadalupe Viejo, Makati",2 bedrooms,2 bathrooms,,,Condo,For Sale,,2,,,Denise Manalo
FURNISHED 3BR UNIT WITH 2 PARKINGS FOR SALE IN GARDEN TOWERS,,,,218 sqm,"₱ 79,500,000","San Lorenzo, Makati",3 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,,2,,,HousingInteractive Inc.
FULLY FURNISHED 3BR UNIT FOR LEASE IN RIZAL TOWER,,,,286 sqm,,"Makati, Metro Manila",3 bedrooms,3 bathrooms,15,Fully furnished,Condo,Buy & Rent,,2,,,HousingInteractive Inc.
"1 Bedroom For Lease in Signa Designer, Makati City",Signa Designer Residences,Signa Designer Residences,37 sqm,37 sqm,"₱ 7,000,000","Bel-Air, Makati",1 bedroom,,4,Fully furnished,Condo,For Sale,2015,,Freehold,https://www.lamudi.com.ph/projects/signa-designer-residences-1/,Infinity Realty
"3-Bedroom Condo Unit for Sale in Pacific Plaza, Makati City",,,,285 sqm,"₱ 66,000,000","Urdaneta, Makati",3 bedrooms,3 bathrooms,,,Condo,For Sale,,2,,,PhilPro Real Estate
"1 Bedroom For Sale in One Rockwell  East, Makati City",,,68 sqm,68 sqm,"₱ 20,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,14,Partly furnished,Condo,For Sale,2011,,Freehold,,Erlyn Merino
"For Sale: 3BR at Sakura Tower, Proscenium",Proscenium at Rockwell,Proscenium at Rockwell,165 sqm,165 sqm,"₱ 66,000,000","Guadalupe Viejo, Makati",3 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,2019,2,Freehold,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,The Infinity Realty
"For Sale: 3BR at One Rockwell East, Makati",One Rockwell East Tower,One Rockwell East Tower,184 sqm,184 sqm,"₱ 60,000,000","Makati, Metro Manila",3 bedrooms,3 bathrooms,,Partly furnished,Condo,For Sale,2010,2,Freehold,https://www.lamudi.com.ph/projects/41032-73-2b4fc0b40c0-6330-79dc6a25-96e7-476b,The Infinity Realty
"For Sale: 2BR at One Rockwell West, Makati",One Rockwell,One Rockwell,98 sqm,98 sqm,"₱ 29,400,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Partly furnished,Loft,For Sale,2010,1,Freehold,https://www.lamudi.com.ph/projects/one-rockwell/,The Infinity Realty
"1 Bedroom For Sale in One Rockwell  East, Makati City",,,71 sqm,71 sqm,"₱ 22,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,5,Partly furnished,Condo,For Sale,2011,1,Freehold,,Erlyn Merino
"1 Bedroom For Sale in One Rockwell  East, Makati City",,,71 sqm,71 sqm,"₱ 22,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,5,Fully furnished,Condo,For Sale,2011,1,Freehold,,Erlyn Merino
"For Sale: 2BR at One Rockwell West, Makati",One Rockwell,One Rockwell,88 sqm,88 sqm,"₱ 27,500,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Fully furnished,Loft,For Sale,2010,1,Freehold,https://www.lamudi.com.ph/projects/one-rockwell/,The Infinity Realty
"Studio For Sale in The Milano Residences, Makati City",The Milano Residences,The Milano Residences,,28 sqm,"₱ 6,590,000","San Miguel Village, Makati",,1 bathroom,,Partly furnished,Studio,For Sale,,,,https://www.lamudi.com.ph/projects/the-milano-residences/,Malou Suerte
"For Sale: 1BR at Manansala Tower, Rockwelll",Manansala Tower,Manansala Tower,66 sqm,66 sqm,"₱ 20,000,000","Bangkal, Makati",1 bedroom,1 bathroom,,Partly furnished,Condo,For Sale,2005,1,Freehold,https://www.lamudi.com.ph/projects/41032-73-845dc2345ca5-d6ae-f4ee9ab8-b2ed-4845,The Infinity Realty
3 Bedroom condo unit For Sale in One Roxas Triangle at Makati City,One Roxas Triangle,One Roxas Triangle,,286 sqm,"₱ 164,835,165","Urdaneta, Makati",3 bedrooms,4 bathrooms,39,Partly furnished,Condo,For Sale,,3,,https://www.lamudi.com.ph/projects/41032-73-fe193415beec-f46a-6b8934d0-a14c-4e76,Jared Dimangondayao
"1 Bedroom For Sale in The Manansala Tower, Makati City",,,71 sqm,71 sqm,"₱ 20,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,9,Partly furnished,Condo,For Sale,2005,1,Freehold,,Erlyn Merino
"Fully-furnished 2-Bedroom with Balcony in Joya Lofts and Towers, Rockwell, Makati City",Joya Lofts and Towers,Joya Lofts and Towers,79 sqm,79 sqm,"₱ 28,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/joya-lofts-and-towers/,Nikko de Guzman
for sale 1 bedroom with parking in makati,Brio Tower,Brio Tower,28 sqm,22 sqm,"₱ 6,200,000","Guadalupe Viejo, Makati",1 bedroom,1 bathroom,2,Unfurnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/brio-tower/,Mana Realty Corporation
"For Sale : 3BR at Kirov Tower, Proscenium",Proscenium at Rockwell,Proscenium at Rockwell,224 sqm,224 sqm,"₱ 90,000,000","Guadalupe Viejo, Makati",3 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,2022,2,Freehold,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,The Infinity Realty
For Sale Two bedroom Condo Unit in Proscenium Rockwell Makati,Proscenium at Rockwell,Proscenium at Rockwell,89 sqm,89 sqm,"₱ 39,000,000","Guadalupe Viejo, Makati",2 bedrooms,2 bathrooms,22,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,Shiera Lining
For Sale Two Bedroom Condo Unit in Proscenium Residences Rockwell Makati,Proscenium at Rockwell,Proscenium at Rockwell,89 sqm,89 sqm,"₱ 39,000,000","Guadalupe Viejo, Makati",2 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,Shiera Lining
"Studio For Sale at The Proscenium, Rockwell",The Proscenium at Rockwell,The Proscenium at Rockwell,29 sqm,29 sqm,"₱ 13,500,000","Makati, Metro Manila",,1 bathroom,,Fully furnished,Studio,For Sale,2022,,Freehold,https://www.lamudi.com.ph/projects/41032-73-4236818733a6-4ab3-5bd02b34-ab99-4333,The Infinity Realty
"For Sale 1 Bedroom with Balcony in Two Central, Salcedo, Makati | Best Realtor",Two Central,Two Central,,62 sqm,"₱ 8,800,000","Bel-Air, Makati",1 bedroom,1 bathroom,26,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/two-central/,Best Realtor
"For Sale: 1BR at The Proscenium, Rockwell",The Proscenium at Rockwell,The Proscenium at Rockwell,62 sqm,62 sqm,"₱ 23,500,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,2022,1,Freehold,https://www.lamudi.com.ph/projects/41032-73-4236818733a6-4ab3-5bd02b34-ab99-4333,The Infinity Realty
Studio type condo in Two Central | Best Realtor,Two Central,Two Central,,40 sqm,"₱ 7,500,000","Bel-Air, Makati",,1 bathroom,18,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/two-central/,Best Realtor
"1 Bedroom Flex at Paseo Parkview Suites, Makati City",Paseo Parkview Suites,Paseo Parkview Suites,67 sqm,67 sqm,,"Bel-Air, Makati",1 bedroom,2 bathrooms,25,Fully furnished,Condo,Buy & Rent,,,,https://www.lamudi.com.ph/projects/paseo-parkview-suites/,Citicentral Properties
"For Sale 1 Bedroom with Balcony in Two Central, Makati | Best Realtor",Two Central,Two Central,,62 sqm,"₱ 9,500,000","Bel-Air, Makati",1 bedroom,1 bathroom,30,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/two-central/,Best Realtor
"2 Bedroom For Sale in Mayfair Mansion, Legazpi Village, Makati City",Mayfair Mansion,Mayfair Mansion,,129 sqm,"₱ 25,500,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,,,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/mayfair-mansion/,Malou Suerte
The Columns Ayala Avenue | Two Bedroom 2BR Condo Unit For Sale and For Rent - #8893,The Columns Ayala Avenue,The Columns Ayala Avenue,79 sqm,79 sqm,,"Bel-Air, Makati",2 bedrooms,2 bathrooms,,,Condo,Buy & Rent,,,,https://www.lamudi.com.ph/projects/the-columns-ayala-avenue/,Kat Everbright AO
"For Sale Studio in Two Central, Makati | Best Realtor",Two Central,Two Central,,40 sqm,"₱ 7,500,000","Bel-Air, Makati",,1 bathroom,19,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/two-central/,Best Realtor
Studio Residential Condo For Sale in Makati including the CGT | Best Realtor,Two Central,Two Central,,40 sqm,"₱ 7,500,000","Bel-Air, Makati",,1 bathroom,19,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/two-central/,Best Realtor
"2 Bedroom For Sale in Knightsbridge Residences, Makati City",Knightsbridge Residences,Knightsbridge Residences,,60 sqm,"₱ 15,500,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/knightsbridge-residences/,The Infinity Realty Inc.
"For Sale Studio in Salcedo, Makati including the CGT | Best Realtor",Two Central,Two Central,,40 sqm,"₱ 5,900,000","Bel-Air, Makati",,1 bathroom,25,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/two-central/,Best Realtor
"For Sale 1 Bedroom in Two Central, Salcedo, Makati, Manila | Best Realtor",Two Central,Two Central,,59 sqm,"₱ 9,500,000","Bel-Air, Makati",1 bedroom,1 bathroom,31,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/two-central/,Best Realtor
"2 Bedroom For Sale in Knightsbridge Residences, Makati City",Knightsbridge Residences,Knightsbridge Residences,60 sqm,60 sqm,"₱ 15,500,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,30,Fully furnished,Condo,For Sale,2014,1,Leasehold,https://www.lamudi.com.ph/projects/knightsbridge-residences/,Infinity Realty
"2 Bedroom For Sale in Manansala Tower, Makati City",Manansala Tower,Manansala Tower,106 sqm,106 sqm,"₱ 35,000,000","Bangkal, Makati",2 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,2005,1,Leasehold,https://www.lamudi.com.ph/projects/41032-73-845dc2345ca5-d6ae-f4ee9ab8-b2ed-4845,Infinity Realty
"2 Bedroom For Sale in Orient Mansion, Makati City",Orient Mansions,Orient Mansions,,118 sqm,"₱ 13,000,000","Bel-Air, Makati",2 bedrooms,1 bathroom,,,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/orient-mansions/,Malou Suerte
"3-Bedroom Corner Condo Unit for Sale in Two Roxas Triangle, Makati City",,,,331 sqm,"₱ 168,000,000","Urdaneta, Makati",3 bedrooms,3 bathrooms,,,Condo,For Sale,,3,,,PhilPro Real Estate
"1 Bedroom For Sale in One Rockwell East, Makati City",,,71 sqm,71 sqm,"₱ 22,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Fully furnished,Loft,For Sale,2011,1,Freehold,,Eva Marzan
"1-Bedroom Condo Unit for Sale in The Manansala, Rockwell, Makati City",,,,77 sqm,"₱ 22,000,000","Makati, Metro Manila",1 bedroom,,,,Condo,For Sale,,1,,,PhilPro Real Estate
"For Sale In Knightbridge, Makati City",Knightsbridge Residences,Knightsbridge Residences,60 sqm,60 sqm,"₱ 15,500,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,30,Fully furnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/knightsbridge-residences/,Leonelyn Infinity
The Residences at Greenbelt | Two Bedroom 2BR Condo Unit For Rent/Sale - #1041,,,,120 sqm,,"Legazpi Village, Makati",2 bedrooms,,,Partly furnished,Condo,Buy & Rent,,1,,,Alvin and Patty - Everbright
"For Sale In Knightbridge, Makati City",Knightsbridge Residences,Knightsbridge Residences,60 sqm,60 sqm,"₱ 15,500,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,30,Fully furnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/knightsbridge-residences/,Adel Infinity
"Studio For Sale in The Proscenium  Residences, Makati City",,,29 sqm,29 sqm,"₱ 13,500,000","Guadalupe Viejo, Makati",,1 bathroom,,Fully furnished,Studio,For Sale,2021,,Freehold,,Eva Marzan
"2 Bedroom For Sale In Knightsbridge, Makati City",Knightsbridge Residences,Knightsbridge Residences,60 sqm,60 sqm,"₱ 15,500,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,30,Fully furnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/knightsbridge-residences/,Haidee Infinity
"2 Bedroom For Sale In Knightsbridge, Makati City",Knightsbridge Residences,Knightsbridge Residences,60 sqm,60 sqm,"₱ 15,500,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,30,Fully furnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/knightsbridge-residences/,Eva Marzan
"3 Bedroom For Sale in The Proscenium Residences, Makati City",,,147 sqm,147 sqm,"₱ 69,000,000","Guadalupe Viejo, Makati",3 bedrooms,3 bathrooms,3,Partly furnished,Condo,For Sale,2021,2,Freehold,,Eva Marzan
Greenbelt Madison | Studio Condo Unit For Sale & For Rent - #8411,Greenbelt Madison,Greenbelt Madison,36 sqm,36 sqm,,"Legazpi Village, Makati",,,,,Condo,Buy & Rent,,,,https://www.lamudi.com.ph/projects/greenbelt-madison/,Kat Everbright AO
Makati Condo 1Br 26sqm Rfo Move in Agad Rent to Own in Makati Ayala Bgc Taguig Naia Magallanes MRT LRT Pasay MOA,San Lorenzo Place,San Lorenzo Place,26 sqm,3 sqm,"₱ 3,500,001","Bangkal, Makati",1 bedroom,1 bathroom,12,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Jerald Yucot
"For Sale in Manansala Tower,Rockwell Makati!!!",Manansala Tower,Manansala Tower,106 sqm,106 sqm,"₱ 35,000,000","Bangkal, Makati",2 bedrooms,2 bathrooms,39,Fully furnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/41032-73-845dc2345ca5-d6ae-f4ee9ab8-b2ed-4845,Leonelyn Infinity
For Sale 2 Bedroom Condo The Proscenium Rockwell Makati condo for sale,,,93 sqm,93 sqm,"₱ 38,500,000","Guadalupe Viejo, Makati",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,2,,,The Lead Realty
"3 Bedroom For Sale in The Proscenium Residences, Makati City",,,147 sqm,147 sqm,"₱ 66,500,000","Guadalupe Viejo, Makati",3 bedrooms,3 bathrooms,,Partly furnished,Condo,For Sale,2021,2,Freehold,,Eva Marzan
"FOR SALE: 2-Bedroom Loft in One Rockwell, Makati",One Rockwell,One Rockwell,97 sqm,97 sqm,"₱ 27,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/one-rockwell/,RE/MAX Capital
2 Bedroom Condo For Sale The Proscenium Rockwell Makati condo for sale,,,93 sqm,93 sqm,"₱ 38,500,000","Guadalupe Viejo, Makati",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,2,,,The Lead Realty
One Lafayette Square | One Bedroom 1BR Condo Unit For Sale - #8951,One Lafayette Square,One Lafayette Square,75 sqm,75 sqm,"₱ 11,500,000","Bel-Air, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/one-lafayette-square/,Kat Everbright AO
The Proscenium at Rockwell 2 Bedroom condo for sale Rockwell Makati condo for sale,,,93 sqm,93 sqm,"₱ 38,500,000","Guadalupe Viejo, Makati",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,2,,,The Lead Realty
"2 Bedoom For Sale In Manansala Tower, Makati City",Manansala Rockwell,Manansala Rockwell,106 sqm,106 sqm,"₱ 35,000,000","Bangkal, Makati",2 bedrooms,2 bathrooms,39,Fully furnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/41032-73-ffed4b95643a-1102-7e7df6f5-8322-4efd,Haidee Infinity
"2 Bedoom For Sale In Manansala Tower, Makati City",Manansala Rockwell,Manansala Rockwell,106 sqm,106 sqm,"₱ 35,000,000","Bangkal, Makati",2 bedrooms,2 bathrooms,39,Fully furnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/41032-73-ffed4b95643a-1102-7e7df6f5-8322-4efd,Eva Marzan
"2 Bedroom For Sale in The Proscenium Residences, Makati City",,,121 sqm,121 sqm,"₱ 52,000,000","Guadalupe Viejo, Makati",2 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,2021,2,Freehold,,Eva Marzan
"2 Bedroom For Sale in Manansala Tower, Makati City",Manansala Tower,Manansala Tower,,106 sqm,"₱ 35,000,000","Bangkal, Makati",2 bedrooms,2 bathrooms,,,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/41032-73-845dc2345ca5-d6ae-f4ee9ab8-b2ed-4845,The Infinity Realty Inc.
"1 Bedroom For Sale in Lincoln Tower at The Proscenium Residences, Makati City",,,63 sqm,63 sqm,"₱ 24,000,000","Guadalupe Viejo, Makati",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,2021,1,Freehold,,Eva Marzan
1BR Condo Unit for Rent in One Rockwell Makati,,,,71 sqm,"₱ 22,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,1,Freehold,,Realus Realtors
