city,page,title,description,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_date,publish_by
makati,33,New 2-Bedroom Condo for Sale at The Rise Makati by Shang,"Discover modern city living in this brand-new 2-bedroom unit at The Rise Makati, ideally located for those who appreciate both convenience and comfort. With an open layout, this unfurnished mid-floor home offers west-facing windows that capture beautiful afternoon light.
 

 Property Details:
  Location: The Rise Makati by Shang Properties
 Size: 68 sqm
 Bedrooms: 2
 Bathrooms: 2
 Floor Level: Mid-floor with west exposure
 Condition: Unfurnished, open to personalization
 Parking: Tandem parking slot for added convenience
 Seller: Local
 Price: PHP 16,500,000 (Negotiable)
  

 This spacious unit is ready for you to make it your own in the heart of Makati. Reach out today to schedule a viewing and experience firsthand what your future home could be!",The Rise Makati,The Rise Makati,68 sqm,68 sqm,"₱ 16,500,000","San Antonio, Makati",2 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/the-rise-makati/,3 Jul 2025,27C Realty
makati,33,Spacious 2-Bedroom Unit for Sale in The Rise Makati,"Settle into the energy of Makati with this roomy, high-floor 2-bedroom condo. Located at The Rise, you’ll enjoy a modern lifestyle surrounded by vibrant retail, dining, and cultural spots that make this area ideal for urban living.
 

 Property Details:
  Location: The Rise Makati, Makati CBD
 Size: 73 sqm
 Bedrooms: 2
 Bathrooms: 2
 Condition: Unfurnished, ready for your style
 Floor Level: High floor, offering more light and city views
  

 Enjoy all the benefits of living in the dynamic Makati area. Message us today to schedule a viewing and explore the possibilities!",The Rise Makati,The Rise Makati,73 sqm,73 sqm,"₱ 17,000,000","San Antonio, Makati",2 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/the-rise-makati/,3 Jul 2025,27C Realty
makati,33,For Sale: 2-Bedroom Condo in The Rise Makati by Shang,"Experience the best of urban living in this stylish, high-floor unit at The Rise Makati. Ideal for professionals and families seeking comfort in the city, this furnished unit is complemented by a private parking space and offers a fantastic location within Makati’s vibrant CBD.
 

 Property Details:
  Location: The Rise Makati, by Shang
 Unit Size: 69 sqm
 Bedrooms: 2
 Bathrooms: 2
 Floor: High floor with cityscape views
 Condition: Furnished
 Seller: Local
 Parking: 1 single parking slot
  Price: PHP 18,500,000 (Negotiable)
 

 Make this beautiful space your own and enjoy Makati’s dynamic lifestyle right at your doorstep. Contact us today to arrange a viewing and see what makes this property special!",The Rise Makati,The Rise Makati,69 sqm,69 sqm,"₱ 18,500,000","San Antonio, Makati",2 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/the-rise-makati/,3 Jul 2025,27C Realty
makati,33,For Sale: Stylish 2-Bedroom Condo in The Rise Makati,"Enjoy Makati CBD living in this fully furnished, thoughtfully designed 2-bedroom home on the 58th floor of The Rise Makati. This unit is perfect for those who want a modern lifestyle right within the city’s bustling business and lifestyle hub.
 

 Property Details:
  Location: The Rise Makati, Makati CBD
 Floor Area: 68 sqm
 Bedrooms: 2
 Bathrooms: 2
 Floor Level: 58th Floor
 Condition: Fully furnished with high-quality fixtures
 Price: Php 19,000,000
 Payment: Post-dated checks required
  

 If you’re looking for a home that combines comfort with a vibrant city lifestyle, this is it. Reach out today to schedule a viewing or for more information on making this space yours!",The Rise Makati,The Rise Makati,68 sqm,68 sqm,"₱ 19,000,000","San Antonio, Makati",2 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/the-rise-makati/,3 Jul 2025,27C Realty
makati,33,"For Sale: Furnished 2-Bedroom for Sale in The Residences at Greenbelt, Makati","Experience urban living in this spacious, furnished 2-bedroom unit on the 41st floor of San Lorenzo Tower. Ideal for those who appreciate a balance of style and functionality, this unit offers breathtaking city views and all the comforts you need.
 

 Property Details:
  Location: The Residences at Greenbelt, San Lorenzo Tower, Makati
 Floor Area: 111 sqm
 Bedrooms: 2, with an additional maid’s room
 Bathrooms: 3
 Balcony: Yes, with city views
 Parking: 1 slot included
 Condition: Fully furnished and well-maintained
 Price: Php 39,000,000 (inclusive of Capital Gains Tax)
  

 Ready to make this space your own? Schedule a viewing today and see how this residence fits your lifestyle. Contact us for more details!",The Residences at Greenbelt,The Residences at Greenbelt,111 sqm,111 sqm,"₱ 39,000,000","Legazpi Village, Makati",2 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/the-residences-at-greenbelt/,3 Jul 2025,27C Realty
makati,33,Stylish 2-Bedroom Condo for Sale at The Residences at Greenbelt,"Experience the best of Makati living in this well-appointed 2-bedroom corner unit at Laguna Tower. With a thoughtful layout and a spacious balcony, this home combines comfort with a prime address that’s close to shopping, dining, and entertainment.
 

 Property Features:
  Location: Laguna Tower, The Residences at Greenbelt, Makati
 Floor Area: 125 sqm
 Bedrooms: 2
 Bathrooms: 2
 Parking: 1 tandem space (fits 2 cars)
 Balcony: Yes
 Price: PHP 40,000,000
  

 Schedule a private showing today and see what makes this property a great choice for your Makati lifestyle.",The Residences at Greenbelt,The Residences at Greenbelt,125 sqm,125 sqm,"₱ 40,000,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/the-residences-at-greenbelt/,3 Jul 2025,27C Realty
makati,33,Modern 2-Bedroom Corner Unit for Sale at The Residences,"Enjoy the convenience and sophistication of city living in this high-floor, fully furnished 2-bedroom unit. With ample natural light, an unobstructed view, and a practical layout, this unit offers a cozy home experience within bustling Makati.
 

 Property Details:
  Location: The Residences at Greenbelt, San Lorenzo Tower, Makati City
 Floor Area: 102 sqm
 Unit Type: Corner unit, high floor
 Bedrooms: 2
 Bathrooms: 2 (plus maid’s quarter with T&B)
 Condition: Fully furnished; items can be removed upon request
 Use: Never tenanted, only occasionally used by owners
 Parking: 1 slot included
  Price: PHP 33,000,000 (negotiable)
 

 Step into a home that combines comfort and style in the vibrant Greenbelt area. Contact us to arrange a private tour and see if this is the perfect fit for your lifestyle.",The Residences at Greenbelt,The Residences at Greenbelt,102 sqm,102 sqm,"₱ 33,000,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/the-residences-at-greenbelt/,3 Jul 2025,27C Realty
makati,33,"2-Bedroom for Sale at The Residences at Greenbelt, Makati","Experience comfort and convenience in this roomy 2-bedroom home in the prestigious San Lorenzo Tower, steps from Greenbelt's vibrant shopping, dining, and leisure options.
 

 Property Details:
  Location: The Residences at Greenbelt, San Lorenzo Tower, Makati City
 Floor Area: 182 sqm
 Bedrooms: 2
 Bathrooms: 2 full baths
 Air Conditioning: Included
 Parking: 4 parking slots
 Price: Php 69,250,000
  

 Contact us to schedule a viewing and see firsthand what this exceptional unit has to offer. Make this premier Makati location your next home!",The Residences at Greenbelt,The Residences at Greenbelt,182 sqm,182 sqm,"₱ 69,250,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,4,,https://www.lamudi.com.ph/projects/the-residences-at-greenbelt/,3 Jul 2025,27C Realty
makati,33,1-Bedroom Condo with Balcony for Sale at Milano Residences,"Located on the 20th floor of Milano Residences in Makati, this 1-bedroom unit offers a 55 sqm layout with a cozy interior and balcony. Partly furnished, it’s an inviting space with room to add your personal touches. The design and location provide comfort and practicality, ideal for both relaxed living and work-from-home flexibility.
 

 Property Details:
  Location: Milano Residences, Makati City
 Floor Level: 20th
 Floor Area: 55 sqm
 Bedrooms: 1
 Furnishing: Partly furnished (bed, microwave, and TV not included)
 Special Feature: Private balcony for fresh air and light
 Parking: None
 Price: Php 11,000,000 Gross
  

 Interested in owning this well-designed Makati condo? Reach out to schedule a viewing and see if this Milano unit feels like home!",The Milano Residences,The Milano Residences,55 sqm,55 sqm,"₱ 11,000,000","San Miguel Village, Makati",1 bedroom,1 bathroom,,Partly furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/the-milano-residences/,3 Jul 2025,27C Realty
makati,33,"Modern 2-Bedroom Condo with Balcony at Milano Residences, Makati","Discover a new home in the vibrant cityscape of Makati. This brand-new, clean-titled 2-bedroom unit at The Milano Residences offers a spacious, thoughtfully designed layout perfect for urban living. With a balcony to enjoy city views and a reserved parking slot, it’s a great blend of comfort and convenience, close to Makati’s dynamic business and shopping districts.
 

 Property Details:
  Location: The Milano Residences, Makati City
 Unit Type: 2 Bedrooms
 Bathrooms: 2
 Balcony: Yes
 Parking: 1 slot
 Price: Php 24,000,000
  

 Ready to make this your home or investment? Get in touch today to arrange a viewing and see how this space fits your lifestyle.",The Milano Residences,The Milano Residences,82 sqm,82 sqm,"₱ 24,000,000","San Miguel Village, Makati",2 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/the-milano-residences/,3 Jul 2025,27C Realty
makati,33,Exclusive 3BR Bi-Level Condo with Private Plunge Pool for Sale at Milano Residen,"Discover modern comfort in this spacious 118 sqm bi-level unit at Milano Residences, Makati. With a unique loggia layout, this 3-bedroom property features high ceilings, an interior-designed space, a large balcony, and a private plunge pool for relaxing moments at home. Two floors and separate entrances add convenience, along with a VIP parking slot on the first basement level. Centrally located and thoughtfully designed, this is a rare find in the city.




Property Details:


    Location: Milano Residences, Makati City

    Unit Type: 3 Bedroom Bi-Level

    Size: 118 sqm

    Bathrooms: 2

    Balcony: 1 large balcony

    Private Pool: 10x5x3 feet plunge pool

    Storage & Utility Room: Yes

    Parking: 1 VIP slot (Basement 1)

    Floor Level: 9th and 10th floors

    Title: Clean

    Price: Php 35,000,000 (Negotiable)

    Co-brokers: Welcome (50% fee sharing)





Interested in making this unique Milano Residences unit your own? Get in touch to schedule a viewing and explore the possibilities.




REB PRC License No. 16645 and 19929
valid until 07-29-2025 and 11-11-2026
PTR Nos. 5288358 and 5288359
DHSUD Nos. NCR-B-2497 and NCR-B-2496




*** BUY / SELL / LEASE your property through us !




*** Houses | Condos | Townhouses |Commercial Lots | Offices |Warehouses | Buildings

Philippine Properties | International Properties




USA, Canada, Dubai, France , China , Indonesia , Italy, Japan, Malaysia, Mexico, Philippines, Portugal, Puerto Rico, Southern Africa, Spain, Thailand, United Kingdom, Vietnam and many more




Visit us at the Lower Ground Level, Robinsons Galleria, EDSA corner Ortigas Avenue, Ortigas Center, Quezon City




Disclaimer: Please note that the information regarding the property's availability, pricing, and other details is subject to change without prior notice. Our company Keller Williams Ortigas – 27C Realty reserves the right to correct or edit any errors or changes in this property listing.




All marketing materials featured in this post are either provided by the property owner or produced by Keller Williams Ortigas – 27C Realty and are therefore considered accurate to the best of our knowledge at the time of publication.




Prospective buyers or tenants are encouraged to verify all details independently and conduct their own due diligence before making any decisions. Keller Williams Ortigas – 27C Realty shall not be held liable for any inaccuracies, omissions, or changes in the property information provided.




This disclaimer serves as a notice that the property's status and details may have changed since the last update, and Keller Williams Ortigas – 27C Realty is not obligated to notify users of such changes.




For the most up-to-date information or to inquire about the property, please contact Keller Williams Ortigas – 27C Realty directly.




Thank you for your understanding.




Code: PRESOP-MV

Broker collaboration",The Milano Residences,The Milano Residences,118 sqm,118 sqm,"₱ 35,000,000","San Miguel Village, Makati",3 bedrooms,3 bathrooms,,Unfurnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/the-milano-residences/,3 Jul 2025,27C Realty
makati,33,Expansive 3-Bedroom with Balcony for Sale at Park Terraces Point Tower,"Set on a high floor in Makati’s prestigious Park Terraces, this semi-furnished 3-bedroom unit is designed for those who value both spacious living and city convenience. The generous 187 sqm interior flows seamlessly onto an 18 sqm balcony, offering views that make city living truly special. Located in Ayala Center, you’ll have all the essentials close by, from top dining options to shopping and entertainment.
 

 Property Details:
  Location: Park Terraces Point Tower, Makati City
 Floor Area: 187 sqm
 Balcony Area: 18 sqm
 Bedrooms: 3 (high-floor unit, A-Series)
 Bathrooms: 3
 Parking: 2 single slots (Basement 2)
 Furnishing: Semi-Furnished
 Asking Price: Php 78,000,000 (gross, negotiable)
  

 Step into your next home in the heart of Makati. Contact us today to explore this remarkable space and make it yours!",Park Terraces,Park Terraces,187 sqm,187 sqm,"₱ 78,000,000","Makati, Metro Manila",3 bedrooms,3 bathrooms,,Partly furnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/park-terraces/,3 Jul 2025,27C Realty
